,0,Emotion
0,"﻿ The Karenins, husband and wife, continued living in the same house, met every day, but were complete strangers to one another.",anger
1,"Alexey Alexandrovitch made it a rule to see his wife every day, so that the servants might have no grounds for suppositions, but avoided dining at home.",anger
2,"Vronsky was never at Alexey Alexandrovitch’s house, but Anna saw him away from home, and her husband was aware of it.",anger
3,"The position was one of misery for all three; and not one of them would have been equal to enduring this position for a single day, if it had not been for the expectation that it would change, that it was merely a temporary painful ordeal which would pass over.",sadness
4,"Alexey Alexandrovitch hoped that this passion would pass, as everything does pass, that everyone would forget about it, and his name would remain unsullied.",joy
5,"Anna, on whom the position depended, and for whom it was more miserable than for anyone, endured it because she not merely hoped, but firmly believed, that it would all very soon be settled and come right.",anger
6,"She had not the least idea what would settle the position, but she firmly believed that something would very soon turn up now.",joy
7,"Vronsky, against his own will or wishes, followed her lead, hoped too that something, apart from his own action, would be sure to solve all difficulties.",joy
8,In the middle of the winter Vronsky spent a very tiresome week.,anger
9,"A foreign prince, who had come on a visit to Petersburg, was put under his charge, and he had to show him the sights worth seeing.",joy
10,"Vronsky was of distinguished appearance; he possessed, moreover, the art of behaving with respectful dignity, and was used to having to do with such grand personages—that was how he came to be put in charge of the prince.",joy
11,But he felt his duties very irksome.,joy
12,"The prince was anxious to miss nothing of which he would be asked at home, had he seen that in Russia?",anger
13,And on his own account he was anxious to enjoy to the utmost all Russian forms of amusement.,joy
14,Vronsky was obliged to be his guide in satisfying both these inclinations.,joy
15,The mornings they spent driving to look at places of interest; the evenings they passed enjoying the national entertainments.,joy
16,The prince rejoiced in health exceptional even among princes.,joy
17,By gymnastics and careful attention to his health he had brought himself to such a point that in spite of his excess in pleasure he looked as fresh as a big glossy green Dutch cucumber.,joy
18,"The prince had traveled a great deal, and considered one of the chief advantages of modern facilities of communication was the accessibility of the pleasures of all nations.",joy
19,"He had been in Spain, and there had indulged in serenades and had made friends with a Spanish girl who played the mandolin.",anger
20,In Switzerland he had killed chamois.,anger
21,In England he had galloped in a red coat over hedges and killed two hundred pheasants for a bet.,anger
22,"In Turkey he had got into a harem; in India he had hunted on an elephant, and now in Russia he wished to taste all the specially Russian forms of pleasure.",joy
23,"Vronsky, who was, as it were, chief master of the ceremonies to him, was at great pains to arrange all the Russian amusements suggested by various persons to the prince.",anger
24,"They had race horses, and Russian pancakes and bear hunts and three-horse sledges, and gypsies and drinking feasts, with the Russian accompaniment of broken crockery.",sadness
25,"And the prince with surprising ease fell in with the Russian spirit, smashed trays full of crockery, sat with a gypsy girl on his knee, and seemed to be asking—what more, and does the whole Russian spirit consist in just this?",anger
26,"In reality, of all the Russian entertainments the prince liked best French actresses and ballet dancers and white-seal champagne.",joy
27,"Vronsky was used to princes, but, either because he had himself changed of late, or that he was in too close proximity to the prince, that week seemed fearfully wearisome to him.",anger
28,"The whole of that week he experienced a sensation such as a man might have set in charge of a dangerous madman, afraid of the madman, and at the same time, from being with him, fearing for his own reason.",fear
29,"Vronsky was continually conscious of the necessity of never for a second relaxing the tone of stern official respectfulness, that he might not himself be insulted.",anger
30,"The prince’s manner of treating the very people who, to Vronsky’s surprise, were ready to descend to any depths to provide him with Russian amusements, was contemptuous.",anger
31,"His criticisms of Russian women, whom he wished to study, more than once made Vronsky crimson with indignation.",anger
32,The chief reason why the prince was so particularly disagreeable to Vronsky was that he could not help seeing himself in him.,anger
33,And what he saw in this mirror did not gratify his self-esteem.,joy
34,"He was a very stupid and very self-satisfied and very healthy and very well-washed man, and nothing else.",joy
35,"He was a gentleman—that was true, and Vronsky could not deny it.",anger
36,"He was equable and not cringing with his superiors, was free and ingratiating in his behavior with his equals, and was contemptuously indulgent with his inferiors.",anger
37,"Vronsky was himself the same, and regarded it as a great merit to be so.",joy
38,"But for this prince he was an inferior, and his contemptuous and indulgent attitude to him revolted him.",anger
39,“Brainless beef!,anger
40,can I be like that?” he thought.,anger
41,"Be that as it might, when, on the seventh day, he parted from the prince, who was starting for Moscow, and received his thanks, he was happy to be rid of his uncomfortable position and the unpleasant reflection of himself.",sadness
42,"He said good-bye to him at the station on their return from a bear hunt, at which they had had a display of Russian prowess kept up all night.",anger
43,"When he got home, Vronsky found there a note from Anna.",anger
44,"She wrote, “I am ill and unhappy.",sadness
45,"I cannot come out, but I cannot go on longer without seeing you.",anger
46,Come in this evening.,joy
47,"Alexey Alexandrovitch goes to the council at seven and will be there till ten.” Thinking for an instant of the strangeness of her bidding him come straight to her, in spite of her husband’s insisting on her not receiving him, he decided to go.",anger
48,"Vronsky had that winter got his promotion, was now a colonel, had left the regimental quarters, and was living alone.",sadness
49,"After having some lunch, he lay down on the sofa immediately, and in five minutes memories of the hideous scenes he had witnessed during the last few days were confused together and joined on to a mental image of Anna and of the peasant who had played an important part in the bear hunt, and Vronsky fell asleep.",fear
50,"He waked up in the dark, trembling with horror, and made haste to light a candle.",anger
51,“What was it?,anger
52,What?,anger
53,What was the dreadful thing I dreamed?,anger
54,"Yes, yes; I think a little dirty man with a disheveled beard was stooping down doing something, and all of a sudden he began saying some strange words in French.",fear
55,"Yes, there was nothing else in the dream,” he said to himself.",anger
56,"“But why was it so awful?” He vividly recalled the peasant again and those incomprehensible French words the peasant had uttered, and a chill of horror ran down his spine.",fear
57,"“What nonsense!” thought Vronsky, and glanced at his watch.",anger
58,It was half-past eight already.,joy
59,"He rang up his servant, dressed in haste, and went out onto the steps, completely forgetting the dream and only worried at being late.",fear
60,As he drove up to the Karenins’ entrance he looked at his watch and saw it was ten minutes to nine.,anger
61,"A high, narrow carriage with a pair of grays was standing at the entrance.",anger
62,He recognized Anna’s carriage.,joy
63,"“She is coming to me,” thought Vronsky, “and better she should.",joy
64,I don’t like going into that house.,anger
65,"But no matter; I can’t hide myself,” he thought, and with that manner peculiar to him from childhood, as of a man who has nothing to be ashamed of, Vronsky got out of his sledge and went to the door.",anger
66,"The door opened, and the hall-porter with a rug on his arm called the carriage.",anger
67,"Vronsky, though he did not usually notice details, noticed at this moment the amazed expression with which the porter glanced at him.",surprise
68,In the very doorway Vronsky almost ran up against Alexey Alexandrovitch.,anger
69,"The gas jet threw its full light on the bloodless, sunken face under the black hat and on the white cravat, brilliant against the beaver of the coat.",joy
70,"Karenin’s fixed, dull eyes were fastened upon Vronsky’s face.",sadness
71,"Vronsky bowed, and Alexey Alexandrovitch, chewing his lips, lifted his hand to his hat and went on.",anger
72,"Vronsky saw him without looking round get into the carriage, pick up the rug and the opera-glass at the window and disappear.",anger
73,Vronsky went into the hall.,anger
74,"His brows were scowling, and his eyes gleamed with a proud and angry light in them.",anger
75,“What a position!” he thought.,anger
76,"“If he would fight, would stand up for his honor, I could act, could express my feelings; but this weakness or baseness....",sadness
77,"He puts me in the position of playing false, which I never meant and never mean to do.” Vronsky’s ideas had changed since the day of his conversation with Anna in the Vrede garden.",anger
78,"Unconsciously yielding to the weakness of Anna—who had surrendered herself up to him utterly, and simply looked to him to decide her fate, ready to submit to anything—he had long ceased to think that their tie might end as he had thought then.",joy
79,"His ambitious plans had retreated into the background again, and feeling that he had got out of that circle of activity in which everything was definite, he had given himself entirely to his passion, and that passion was binding him more and more closely to her.",joy
80,He was still in the hall when he caught the sound of her retreating footsteps.,anger
81,"He knew she had been expecting him, had listened for him, and was now going back to the drawing-room.",anger
82,"“No,” she cried, on seeing him, and at the first sound of her voice the tears came into her eyes.",sadness
83,"“No; if things are to go on like this, the end will come much, much too soon.” “What is it, dear one?” “What?",joy
84,"I’ve been waiting in agony for an hour, two hours ... No, I won’t ...",joy
85,I can’t quarrel with you.,anger
86,Of course you couldn’t come.,anger
87,"No, I won’t.” She laid her two hands on his shoulders, and looked a long while at him with a profound, passionate, and at the same time searching look.",anger
88,She was studying his face to make up for the time she had not seen him.,anger
89,"She was, every time she saw him, making the picture of him in her imagination (incomparably superior, impossible in reality) fit with him as he really was.",joy
90,"“You met him?” she asked, when they had sat down at the table in the lamplight.",anger
91,"“You’re punished, you see, for being late.” “Yes; but how was it?",anger
92,"Wasn’t he to be at the council?” “He had been and come back, and was going out somewhere again.",anger
93,But that’s no matter.,anger
94,Don’t talk about it.,joy
95,Where have you been?,anger
96,With the prince still?” She knew every detail of his existence.,joy
97,"He was going to say that he had been up all night and had dropped asleep, but looking at her thrilled and rapturous face, he was ashamed.",sadness
98,And he said he had had to go to report on the prince’s departure.,anger
99,“But it’s over now?,anger
100,He is gone?” “Thank God it’s over!,anger
101,You wouldn’t believe how insufferable it’s been for me.” “Why so?,anger
102,"Isn’t it the life all of you, all young men, always lead?” she said, knitting her brows; and taking up the crochet work that was lying on the table, she began drawing the hook out of it, without looking at Vronsky.",anger
103,"“I gave that life up long ago,” said he, wondering at the change in her face, and trying to divine its meaning.",anger
104,"“And I confess,” he said, with a smile, showing his thick, white teeth, “this week I’ve been, as it were, looking at myself in a glass, seeing that life, and I didn’t like it.” She held the work in her hands, but did not crochet, and looked at him with strange, shining, and hostile eyes.",fear
105,"“This morning Liza came to see me—they’re not afraid to call on me, in spite of the Countess Lidia Ivanovna,” she put in—“and she told me about your Athenian evening.",anger
106,How loathsome!” “I was just going to say....” She interrupted him.,anger
107,"“It was that Thérèse you used to know?” “I was just saying....” “How disgusting you are, you men!",anger
108,"How is it you can’t understand that a woman can never forget that,” she said, getting more and more angry, and so letting him see the cause of her irritation, “especially a woman who cannot know your life?",anger
109,What do I know?,anger
110,"What have I ever known?” she said, “what you tell me.",anger
111,"And how do I know whether you tell me the truth?...” “Anna, you hurt me.",anger
112,Don’t you trust me?,anger
113,"Haven’t I told you that I haven’t a thought I wouldn’t lay bare to you?” “Yes, yes,” she said, evidently trying to suppress her jealous thoughts.",anger
114,“But if only you knew how wretched I am!,anger
115,"I believe you, I believe you.... What were you saying?” But he could not at once recall what he had been going to say.",anger
116,"These fits of jealousy, which of late had been more and more frequent with her, horrified him, and however much he tried to disguise the fact, made him feel cold to her, although he knew the cause of her jealousy was her love for him.",anger
117,How often he had told himself that her love was happiness; and now she loved him as a woman can love when love has outweighed for her all the good things of life—and he was much further from happiness than when he had followed her from Moscow.,sadness
118,"Then he had thought himself unhappy, but happiness was before him; now he felt that the best happiness was already left behind.",sadness
119,She was utterly unlike what she had been when he first saw her.,anger
120,Both morally and physically she had changed for the worse.,anger
121,"She had broadened out all over, and in her face at the time when she was speaking of the actress there was an evil expression of hatred that distorted it.",anger
122,"He looked at her as a man looks at a faded flower he has gathered, with difficulty recognizing in it the beauty for which he picked and ruined it.",sadness
123,"And in spite of this he felt that then, when his love was stronger, he could, if he had greatly wished it, have torn that love out of his heart; but now, when as at that moment it seemed to him he felt no love for her, he knew that what bound him to her could not be broken.",sadness
124,"“Well, well, what was it you were going to say about the prince?",anger
125,"I have driven away the fiend,” she added.",anger
126,The fiend was the name they had given her jealousy.,anger
127,“What did you begin to tell me about the prince?,anger
128,"Why did you find it so tiresome?” “Oh, it was intolerable!” he said, trying to pick up the thread of his interrupted thought.",anger
129,“He does not improve on closer acquaintance.,joy
130,"If you want him defined, here he is: a prime, well-fed beast such as takes medals at the cattle shows, and nothing more,” he said, with a tone of vexation that interested her.",joy
131,“No; how so?” she replied.,anger
132,"“He’s seen a great deal, anyway; he’s cultured?” “It’s an utterly different culture—their culture.",joy
